location,long,lat,capacity
"120 Upper Heidelberg Road, Ivanhoe, VIC, 3079",145.042069,-37.7690726,247546470.0
"102-106 Main St, Pakenham, VIC, 3810",145.4817101,-38.0775275,78041946.0
"21 Brook St, Sunbury, VIC, 3429",144.73023,-37.5801,81249744.0
"79-81 Malop St, Geelong, VIC, 3220",144.3614175,-38.1474027,102916342.0
"3 Ordish Road, Dandenong South, VIC, 3175",145.196422,-38.012935,87476471.0
"Waurn Ponds Shopping Centre, 173-199 Pioneer Road, Waurn Ponds Shopping Centre, Waurn Ponds, VIC, 3216",144.318128,-38.199078,98402468.0
"75-77 Firebrace St, Horsham, VIC, 3400",142.1999347,-36.7157289,46799852.0
"348-350 Clayton Rd, Clayton, VIC, 3168",145.1191733,-37.9279667,129676949.0
"16 Kingsway, Glen Waverley, VIC, 3150",145.164216,-37.878943,202766972.0
"114 Barkly St, Ararat, VIC, 3377",142.929242,-37.284301,38084072.0
"145-149 Main St, Bairnsdale, VIC, 3875",147.6310741,-37.8262214,51337801.0
"445 Toorak Rd, Toorak, VIC, 3142",145.0077527,-37.840922,537783957.0
"196-208 Russell St, Melbourne, VIC, 3000",144.967743,-37.811638,131563159.0
"Epping Plaza Shopping Centre, 571-583 High Street, Corner Cooper Street, Epping Plaza Shopping Centre, Epping, VIC, 3076",145.018236,-37.653583,85996292.0
"84 Glenferrie Road, Malvern, VIC, 3144",145.0283337,-37.8625362,476516253.0
"266 Stephensons Rd, Mount Waverley, VIC, 3149",145.1288696,-37.8768445,194577470.0
"145 Barker St, Castlemaine, VIC, 3450",144.2165165,-37.0665833,88453329.0
"Watergardens Shopping Centre, 399 Melton Hwy, Watergardens Shopping Centre, Taylors Lakes, VIC, 3038",144.776286,-37.700538,113762051.0
"QV Building, 228-234 Lonsdale St, QV Building, Melbourne, VIC, 3000",144.9653848,-37.8113239,137102661.0
"Tarneit Central Shopping Centre, 540 Derrimut Road, Tarneit Central Shopping Centre, Tarneit, VIC, 3029",144.692388,-37.836745,78721974.0
"140 Koroit St, Warrnambool, VIC, 3280",142.4821281,-38.3818558,73403978.0
"600 Chapel St, South Yarra, VIC, 3141",144.9956247,-37.839488,228113542.0
"68 Puckle St, Moonee Ponds, VIC, 3039",144.9224628,-37.7668421,205714796.0
"174 Graham St, Wonthaggi, VIC, 3995",145.5887796,-38.6060527,70416445.0
"19 Victoria St, Warragul, VIC, 3820",145.9306764,-38.162449,79397659.0
"75 Nunn St, Benalla, VIC, 3672",145.98332,-36.550984,51821142.0
"Waverley Gardens Shopping Centre, Cnr Police & Jacksons Roads, Waverley Gardens Shopping Centre, Mulgrave, VIC, 3170",145.189621,-37.935367,116650310.0
"165-167 Hare St, Echuca, VIC, 3564",144.7492774,-36.1269878,62542758.0
"143 Hogan St, Tatura, VIC, 3616",145.2282894,-36.4400819,53809109.0
"Bayside Shopping Centre, 28 Beach Street, Bayside Shopping Centre, Frankston, VIC, 3199",145.125873,-38.139751,95707793.0
"1223A Howitt St, Wendouree, VIC, 3355",143.828626,-37.5399767,60184995.0
"55 Belmore St, Yarrawonga, VIC, 3730",146.0043957,-36.0112,88110833.0
"Westfield Plenty Valley, 415 McDonalds Road, Westfield Plenty Valley, Mill Park, VIC, 3082",145.070162,-37.650467,97847152.0
"Craigieburn Central, 340 Craigieburn Road, Craigieburn Central, Craigieburn, VIC, 3064",144.914219,-37.594153,78985051.0
"87-89 Separation St, Geelong North, VIC, 3215",144.3422348,-38.110797,116442455.0
"111 Mollison St, Kyneton, VIC, 3444",144.4533034,-37.2481414,105323742.0
"7 Pickering St, Ouyen, VIC, 3490",142.3165082,-35.070082,17199258.0
"383 Centre Rd, Bentleigh, VIC, 3204",145.0377574,-37.9182968,211602998.0
"CS Square Shopping Centre, 29-35 Lake Street, CS Square Shopping Centre, Caroline Springs, VIC, 3023",144.743575,-37.731095,90296107.0
"Strath Village Shopping Centre, 134 Condon St, Strath Village Shopping Centre, Kennington, VIC, 3550",144.304858,-36.774548,72789719.0
"333 Springvale Rd, Springvale, VIC, 3171",145.152583,-37.951057,108908162.0
"Shop 128, Casey Central SC, 400 Narre Warren - Cranbourne Rd, Casey Central, Narre Warre South, VIC, 3805",145.29991,-38.0678,97447574.0
"79 King George St, Cohuna, VIC, 3568",144.2213731,-35.8088837,35012776.0
"Point Cook Town Centre, 1 Main Street, Point Cook Town Centre, Point Cook, VIC, 3030",144.734215,-37.88345,93032353.0
"55 Deakin Ave, Mildura, VIC, 3500",142.1617128,-34.1851816,52118965.0
"Werribee Plaza Shopping Centre, Derrimut and Heath Roads, Werribee Plaza Shopping Centre, Hoppers Crossing, VIC, 3029",144.681527,-37.874877,75833094.0
"Sunshine Marketplace, 80 Harvester Road, Sunshine Marketplace, Sunshine, VIC, 3020",144.832101,-37.782018,114922318.0
"Dandenong Plaza, 1 McCrae Street, Dandenong Plaza, Dandenong, VIC, 3175",145.218482,-37.986467,86368571.0
"92 McLennan St, Mooroopna, VIC, 3629",145.360153,-36.394153,45740597.0
"71-79 Nicholson St, Orbost, VIC, 3888",148.4549068,-37.7070607,35143074.0
"50 Thompson Ave, Cowes, VIC, 3922",145.2389648,-38.4496602,128494965.0
"Woodgrove Shopping Centre, 533-555 High Street, Woodgrove Shopping Centre, Melton, VIC, 3337",144.562271,-37.686322,60184995.0
"57-59 Mitchell St, Bendigo, VIC, 3550",144.2806284,-36.7613412,80659931.0
"406 Sydney Road, Coburg, VIC, 3058",144.966389,-37.743756,157250363.0
"82-88 Franklin Street, Traralgon, VIC, 3844",146.5379839,-38.1964448,55878976.0
"199 Princes Drive, Morwell, VIC, 3840",146.3981461,-38.236653,38307439.0
"Broadmeadows Shopping Centre, 1099 Pascoe Vale Road, Broadmeadows Shopping Centre, Broadmeadows, VIC, 3047",144.92088,-37.679358,73305324.0
"329 Sturt Street, Ballarat, VIC, 3350",143.8549967,-37.5618672,92424298.0
"57 Florence St, Mentone, VIC, 3194",145.0642427,-37.9827424,187888869.0
"2 Eaton St, Oakleigh, VIC, 3166",145.0905656,-37.8987946,181200269.0
"19-21 Douglas Parade, Williamstown, VIC, 3016",144.8978057,-37.8579551,196685806.0
"64 Elizabeth St, Edenhope, VIC, 3318",141.296383,-37.035876,19899517.0
"50 Ranelagh Dr, Mount Eliza, VIC, 3930",145.088862,-38.18414,230961471.0
"76 High St, Mansfield, VIC, 3722",146.0890137,-37.0525329,91729379.0
"67 High Street, Wallan, VIC, 3756",144.978738,-37.41368,76782404.0
"Drysdale Village Shopping Centre, 16 Wyndham St, Drysdale Village Shopping Centre, Drysdale, VIC, 3222",144.5695731,-38.1728522,97896789.0
"158 Scott St, Warracknabeal, VIC, 3393",142.394765,-36.252451,27970511.0
"40 Station St, Seymour, VIC, 3660",145.1375904,-37.0242532,59589350.0
"381 Wyndham St, Shepparton, VIC, 3630",145.3995252,-36.3822347,49754998.0
"Chifley Business Park, 1 Joseph Avenue, Chifley Business Park, Moorabbin Airport, VIC, 3194",145.1092151,-37.972464,176906659.0
"89 Johnson St, Maffra, VIC, 3860",146.975165,-37.9666644,45847316.0
"93 High St, Terang, VIC, 3264",142.9174662,-38.2414471,40435630.0
"149 High St, Maryborough, VIC, 3465",143.738493,-37.0462757,46579464.0
"245 Raymond St, Sale, VIC, 3850",147.0654176,-38.1080942,62629623.0
"Westfield Airport West, 25-35 Louis St, Westfield Airport West, Airport West, VIC, 3042",144.887986,-37.713926,109400190.0
"34 Ireland St, Bright, VIC, 3741",146.961136,-36.728317,140772704.0
"81 Punt Rd, Cobram, VIC, 3644",145.6473098,-35.9201956,44971221.0
"54 High St, Hastings, VIC, 3915",145.1911573,-38.307648,88760459.0
"41 Melville St, Numurkah, VIC, 3636",145.442395,-36.089753,47124231.0
"726 Mountain Hwy, Bayswater, VIC, 3153",145.2657309,-37.8411457,115530373.0
"51 Victoria St, Nhill, VIC, 3418",141.6489334,-36.3345217,22802047.0
"64 Percy St, Portland, VIC, 3305",141.6038639,-38.3471292,50272465.0
"322 High St, Nagambie, VIC, 3608",145.1543189,-36.7844834,79853700.0
"23 McCartin St, Leongatha, VIC, 3953",145.9451568,-38.4770939,76838246.0
"103-105 Koornang Road, Carnegie, VIC, 3163",145.057323,-37.887943,207954671.0
"29 Brantome St, Gisborne, VIC, 3437",144.5898331,-37.4865957,151722030.0
"211 Commercial Rd, Yarram, VIC, 3971",146.67645,-38.562622,53905901.0
"104 High St, Heathcote, VIC, 3523",144.710614,-36.924546,61425923.0
"18 Sydney Street, Kilmore, VIC, 3764",144.9515965,-37.2937679,72123961.0
"33 Roy St, Jeparit, VIC, 3423",141.987825,-36.142054,17754574.0
"44 Victoria St, Kerang, VIC, 3579",143.9202858,-35.7339297,30973556.0
"Dromana Hub Shopping Centre, 217 Nepean Highway, Dromana Hub Shopping Centre, Dromana, VIC, 3936",144.965086,-38.332681,135137031.0
"49 Main St, Timboon, VIC, 3268",142.979367,-38.484329,56549077.0
"Glendinning St, Balmoral, VIC, 3407",141.841341,-37.247477,31450073.0
"67-69 Grant St, Alexandra, VIC, 3714",145.710066,-37.191904,65163598.0
"34 Curdie St, Cobden, VIC, 3266",143.077458,-38.328441,46272955.0
"69 Commercial St, Kaniva, VIC, 3419",141.239545,-36.378511,17076407.0
"342-344 Belgrave-Gembrook Rd, Emerald, VIC, 3782",145.440508,-37.932321,113749641.0
"131 Gray St, Hamilton, VIC, 3300",142.0240071,-37.743253,43935047.0
"3 A'Beckett St, Inverloch, VIC, 3996",145.7282765,-38.6338973,119367321.0
"182 Allan St, Kyabram, VIC, 3620",145.046982,-36.31364,47847071.0
"29 Napier St, St Arnaud, VIC, 3478",143.2575658,-36.6158294,34305447.0
"40 Federal St, Rainbow, VIC, 3424",141.994995,-35.898205,16799059.0
"16 Gilbert Street, Torquay, VIC, 3228",144.3243424,-38.3320921,162499488.0
"299-301 Esplanade, Lakes Entrance, VIC, 3909",147.9835208,-37.8812814,66277951.0
"Midtown Plaza, 186 Swanston Street, Midtown Plaza, Melbourne, VIC, 3000",144.9654723,-37.8131315,137102661.0
"104 Main St, Rutherglen, VIC, 3685",146.460001,-36.054299,56586305.0
