branch,long,lat
"445 Toorak Rd, Toorak, VIC, 3142",145.0077527,-37.840922
"196-208 Russell St, Melbourne, VIC, 3000",144.967743,-37.811638
"Epping Plaza Shopping Centre, 571-583 High Street, Corner Cooper Street, Epping Plaza Shopping Centre, Epping, VIC, 3076",145.018236,-37.653583
"84 Glenferrie Road, Malvern, VIC, 3144",145.0283337,-37.8625362
"266 Stephensons Rd, Mount Waverley, VIC, 3149",145.1288696,-37.8768445
"145 Barker St, Castlemaine, VIC, 3450",144.2165165,-37.0665833
"Watergardens Shopping Centre, 399 Melton Hwy, Watergardens Shopping Centre, Taylors Lakes, VIC, 3038",144.776286,-37.700538
"QV Building, 228-234 Lonsdale St, QV Building, Melbourne, VIC, 3000",144.9653848,-37.8113239
"Tarneit Central Shopping Centre, 540 Derrimut Road, Tarneit Central Shopping Centre, Tarneit, VIC, 3029",144.692388,-37.836745
"140 Koroit St, Warrnambool, VIC, 3280",142.4821281,-38.3818558
"600 Chapel St, South Yarra, VIC, 3141",144.9956247,-37.839488
"68 Puckle St, Moonee Ponds, VIC, 3039",144.9224628,-37.7668421
"174 Graham St, Wonthaggi, VIC, 3995",145.5887796,-38.6060527
"19 Victoria St, Warragul, VIC, 3820",145.9306764,-38.162449
"75 Nunn St, Benalla, VIC, 3672",145.98332,-36.550984
"Waverley Gardens Shopping Centre, Cnr Police & Jacksons Roads, Waverley Gardens Shopping Centre, Mulgrave, VIC, 3170",145.189621,-37.935367
"165-167 Hare St, Echuca, VIC, 3564",144.7492774,-36.1269878
"143 Hogan St, Tatura, VIC, 3616",145.2282894,-36.4400819
"Bayside Shopping Centre, 28 Beach Street, Bayside Shopping Centre, Frankston, VIC, 3199",145.125873,-38.139751
"1223A Howitt St, Wendouree, VIC, 3355",143.828626,-37.5399767
"55 Belmore St, Yarrawonga, VIC, 3730",146.0043957,-36.0112
"Westfield Plenty Valley, 415 McDonalds Road, Westfield Plenty Valley, Mill Park, VIC, 3082",145.070162,-37.650467
"Craigieburn Central, 340 Craigieburn Road, Craigieburn Central, Craigieburn, VIC, 3064",144.914219,-37.594153
"87-89 Separation St, Geelong North, VIC, 3215",144.3422348,-38.110797
"111 Mollison St, Kyneton, VIC, 3444",144.4533034,-37.2481414
"7 Pickering St, Ouyen, VIC, 3490",142.3165082,-35.070082
"383 Centre Rd, Bentleigh, VIC, 3204",145.0377574,-37.9182968
"CS Square Shopping Centre, 29-35 Lake Street, CS Square Shopping Centre, Caroline Springs, VIC, 3023",144.743575,-37.731095
"Strath Village Shopping Centre, 134 Condon St, Strath Village Shopping Centre, Kennington, VIC, 3550",144.304858,-36.774548
"333 Springvale Rd, Springvale, VIC, 3171",145.152583,-37.951057
"Shop 128, Casey Central SC, 400 Narre Warren - Cranbourne Rd, Casey Central, Narre Warre South, VIC, 3805",145.29991,-38.0678
"79 King George St, Cohuna, VIC, 3568",144.2213731,-35.8088837
"Point Cook Town Centre, 1 Main Street, Point Cook Town Centre, Point Cook, VIC, 3030",144.734215,-37.88345
"55 Deakin Ave, Mildura, VIC, 3500",142.1617128,-34.1851816
"Werribee Plaza Shopping Centre, Derrimut and Heath Roads, Werribee Plaza Shopping Centre, Hoppers Crossing, VIC, 3029",144.681527,-37.874877
"Sunshine Marketplace, 80 Harvester Road, Sunshine Marketplace, Sunshine, VIC, 3020",144.832101,-37.782018
"Dandenong Plaza, 1 McCrae Street, Dandenong Plaza, Dandenong, VIC, 3175",145.218482,-37.986467
"92 McLennan St, Mooroopna, VIC, 3629",145.360153,-36.394153
"71-79 Nicholson St, Orbost, VIC, 3888",148.4549068,-37.7070607
"50 Thompson Ave, Cowes, VIC, 3922",145.2389648,-38.4496602
"Woodgrove Shopping Centre, 533-555 High Street, Woodgrove Shopping Centre, Melton, VIC, 3337",144.562271,-37.686322
"57-59 Mitchell St, Bendigo, VIC, 3550",144.2806284,-36.7613412
"406 Sydney Road, Coburg, VIC, 3058",144.966389,-37.743756
"82-88 Franklin Street, Traralgon, VIC, 3844",146.5379839,-38.1964448
"199 Princes Drive, Morwell, VIC, 3840",146.3981461,-38.236653
"Broadmeadows Shopping Centre, 1099 Pascoe Vale Road, Broadmeadows Shopping Centre, Broadmeadows, VIC, 3047",144.92088,-37.679358
"329 Sturt Street, Ballarat, VIC, 3350",143.8549967,-37.5618672
"57 Florence St, Mentone, VIC, 3194",145.0642427,-37.9827424
